PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
10276080;"Autocine Madrid RACE";"";"";"";"";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fea63d5e3af7a510VgnVCM1000001d4a900aRCRD";"ANTONIO DE CABEZON";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28034";"VALVERDE";"FUENCARRAL-EL PARDO";"442150";"4483527";"40.500437060081694";"-3.682719171453021";"675 744 984";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
7381184;"Centro Comercial Dreams - Palacio Municipal de Hielo";"";"";"";"Metro: Canillas (línea 4)Bus:112, 120, 122, 153";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c599006aee194410VgnVCM1000000b205a0aRCRD";"SILVANO";"CALLE";"V";"77";"";"";"";"";"MADRID";"MADRID";"28043";"CANILLAS";"HORTALEZA";"446103";"4479332";"40.46291274127404";"-3.635733711568097";"917 160 400";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje"; 
55827;"Cine Artesiete Alcalá Full HD";"";"";"";"Metro: Ciudad Lineal (línea 5).Bus: 104, 109, 113, 4, 77, 48, 70, 105, 38.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f14c3d232e91f010VgnVCM1000000b205a0aRCRD";"ALCALA";"CALLE";"V";"414";"";"";"";"";"MADRID";"MADRID";"28027";"PUEBLO NUEVO";"CIUDAD LINEAL";"445843";"4476510";"40.437446906533594";"-3.638523962349189";"913 678 768";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
6647175;"Cine Artistic Metropol";"";"";"";"Metro: Acacias (línea 5), Embajadores (línea 3).Bus: 148, 41, 60, C2, 116, 18, 119, 34, 36, 62, C1.Cercanías Renfe: Embajadores (línea C5).Bicimad: Estación 46 (Ribera de Curtidores, 28).Estación 163 (Paseo de la Esperanza, 2).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b69b2f335181b310VgnVCM1000000b205a0aRCRD";"CIGARRERAS";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28005";"ACACIAS";"ARGANZUELA";"439972";"4472935";"40.404856499695455";"-3.70742856791561";"915 272 792";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17321;"Cine Capitol Gran Vía";"";"";"";"Metro: Callao (líneas 3, 5), Santo Domingo (línea 2).Bus: 148, 147, 146, 75, 001, 1, 2, 3, 46, 74, 133, 44.Bicimad: Estaciones 2 (calle Miguel Moya, 1), 22 (Jacometrezo, 3), 23 (plaza de Santo Domingo, 1).";"Descripción monumental: Arquitectos: Luis Martínez - Feduchi y Vicente Eced (1931 - 1933). Esta joya arquitectónica vanguardista e innovadora se construyó con la ambición de convertirse en un hito urbano. Desde su origen se pensó en él como soporte de anuncios luminosos.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6dac3d232e91f010VgnVCM1000000b205a0aRCRD";"GRAN VIA";"CALLE";"V";"41";"";"";"";"";"MADRID";"MADRID";"28013";"PALACIO";"CENTRO";"440057";"4474664";"40.42043827261684";"-3.7065898195198486";"915 222 229";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17304;"Cine Cinesa La Gavia 3D";"";"";"";"Bus: 145.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=390c3d232e91f010VgnVCM1000000b205a0aRCRD";"ADOLFO BIOY CASARES";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28051";"CASCO H.VALLECAS";"VILLA DE VALLECAS";"449271";"4468741";"40.367701522967664";"-3.597512351069017";"902 333 231";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
68001;"Cine Cinesa Las Rosas 3D";"";"";"";"Metro: Canillejas (línea 5).Bus: 105, 115, 153, 114.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c9255004e91f010VgnVCM2000000c205a0aRCRD";"GUADALAJARA";"AVENIDA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28032";"ARCOS";"SAN BLAS-CANILLEJAS";"447189";"4474396";"40.41850711270872";"-3.6225145335284066";"902 333 231";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
4549928;"Cine Cinesa Manoteras 3D";"";"";"";"Cercanías Renfe: Fuente de la Mora (C1, C10).Autobús: 150.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1eb86f91462a1110VgnVCM1000000b205a0aRCRD";"MANOTERAS";"AVENIDA";"V";"40";"";"";"";"";"MADRID";"MADRID";"28050";"VALDEFUENTES";"HORTALEZA";"443605";"4481918";"40.48604287095553";"-3.6654142365599194";"902 100 842";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
33938;"Cine Cinesa Méndez Álvaro 3D";"";"";"";"Metro: Méndez Álvaro (línea 6). Cercanías Renfe: Méndez Álvaro (líneas C1, C5, C10). Bus: 113. Bicimad: Estación 180 (Retama, 5).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b32e3d232e91f010VgnVCM1000000b205a0aRCRD";"ACANTO";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28045";"ATOCHA";"ARGANZUELA";"442670";"4471989";"40.396524567021544";"-3.6755496528510783";"902 100 842";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
160926;"Cine Cinesa Príncipe Pío 3D";"";"";"";"Metro: Príncipe Pío (líneas 6, 10).Bus: 41, 46, 75, 138, 148, 25, 3, 39, 62, C2, 33, C1.Cercanías Renfe: Príncipe Pío (líneas C1, C7 y C10).Bicimad: Estación 161 (Paseo de la Florida, 8).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de97051c8d91f010VgnVCM1000000b205a0aRCRD";"FLORIDA";"PASEO";"V";"0";"";"";"";"Centro de Ocio, Cultura y Comercio Príncipe Pío";"MADRID";"MADRID";"28008";"CASA DE CAMPO";"MONCLOA-ARAVACA";"438838";"4474711";"40.42078197104075";"-3.7209625681527148";"902 333 231";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
