PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
2392;"Auditorio al aire libre Berlín";"Su mantenimiento es competencia de la Junta de Distrito de Chamartín. Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Concha Espina (línea 9). Bus: 16, 29, 52, 19, 120, 43.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=34137b503a71c010VgnVCM1000000b205a0aRCRD";"SAN ERNESTO";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28002";"CIUDAD JARDIN";"CHAMARTIN";"442714";"4477836";"40.449208447370104";"-3.6755539136331894";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122296;"Auditorio al aire libre. Carlos Jiménez de Parga";"Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas. Actividades: espectáculos variados durante los meses de verano.Espacio abierto, acceso directo sin vallado.";"";"";"Metro: Miguel Hernández (línea 1). Bus: 144, 54.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d03cbf06c81c010VgnVCM1000000b205a0aRCRD";"RAFAEL ALBERTI";"AVENIDA";"V";"13";"";"";"";"esquina calle Andaluces";"MADRID";"MADRID";"28038";"PALOMERAS SURESTE";"PUENTE DE VALLECAS";"445830";"4471232";"40.389925582492495";"-3.6382516529937448";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2395;"Auditorio al aire libre. Centro Cultural el Pozo";"Su mantenimiento es competencia de la Junta de Puente de Vallecas. Actividades: espectáculos variados durante los meses de verano.Espacio con vallado perimetral y puerta de acceso.";"";"";"Bus: 102, 24. Cercanías Renfe: El Pozo (líneas C2, C7).";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8cd27b503a71c010VgnVCM1000000b205a0aRCRD";"ANDALUCES DEL POZO";"CALLE";"V";"1";"";"";"";"con calle Cabo Machichaco";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"443905";"4469263";"40.372060226614956";"-3.6607580022990196";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2396;"Auditorio al aire libre. Entrevías";"Su mantenimiento es competencia de la Junta de Puente de Vallecas. Actividades: espectáculos variados durante los meses de verano.Espacio con vallado perimetral y puerta de acceso.";"";"";"Bus: 102, 11, 103.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1fe27b503a71c010VgnVCM1000000b205a0aRCRD";"SUR";"RONDA";"V";"";"";"";"";"Altura calle Montánchez";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"443009";"4469412";"40.3733417270423";"-3.6713248649676786";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122325;"Auditorio al aire libre. Parque Aluche";"Su mantenimiento es competencia de la Junta de Distrito de Latina. Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Aluche (línea 5).  Bus: 121, 25.  Cercanías RENFE: Aluche (línea C5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0023cbf06c81c010VgnVCM1000000b205a0aRCRD";"ILLESCAS";"CALLE";"V";"149";"";"";"";"";"MADRID";"MADRID";"28047";"ALUCHE";"LATINA";"435554";"4471619";"40.392680212409495";"-3.7593572957930554";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
10290753;"Auditorio al aire libre. Parque Amós Acero";"Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas. Actividades: Espectáculos variados durante los meses de verano.Espacio abierto, acceso directo sin vallado.";"";"";"Bus: 24, 103, 111, 57, 144.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0688a0701d0da510VgnVCM1000001d4a900aRCRD";"SIERRA DE ALQUIFE";"CALLE";"V";"20";"";"";"";"";"MADRID";"MADRID";"28053";"SAN DIEGO";"PUENTE DE VALLECAS";"443462";"4471081";"40.38840792931046";"-3.6661371810507912";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2393;"Auditorio al aire libre. Parque Cerro Almodóvar";"Su mantenimiento es competencia de la Junta de Distrito de Latina. Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Carpetana (línea 6). Bus: 17.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb437b503a71c010VgnVCM1000000b205a0aRCRD";"MARCELINO CASTILLO";"CALLE";"V";"29";"";"";"";"";"MADRID";"MADRID";"28047";"ALUCHE";"LATINA";"436800";"4471778";"40.39420802732146";"-3.744692836307442";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2399;"Auditorio al aire libre. Parque de Canillejas";"Su mantenimiento es competencia de la Junta de Distrito de San Blas - Canillejas. Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Torre Arias (línea 5).Bus: 28, 48.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59337b503a71c010VgnVCM1000000b205a0aRCRD";"NECTAR";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28022";"CANILLEJAS";"SAN BLAS-CANILLEJAS";"448169";"4477063";"40.44260378345522";"-3.6111693057729117";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
10724346;"Auditorio al aire libre. Parque de la Cuña Verde";"Actividades: cine de verano y espectáculos musicales.";"";"";"Bus: 140, E4.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35f0833f1eec3610VgnVCM1000001d4a900aRCRD";"JOSE BERGAMIN";"CALLE";"V";"62";"";"";"";"";"MADRID";"MADRID";"28030";"MARROQUINA";"MORATALAZ";"446334";"4473592";"40.41122222440268";"-3.6325060663892805";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2387;"Auditorio al aire libre. Parque de la Vaguada";"";"";"Templete de Música";"Metro: Peña Grande (línea 7), Barrio del Pilar (línea 9)Bus: 49 , 67 , 83 , 124 , 128 , 132 , 133 , 137";"Mantenimiento:Área de Gobierno de Medio Ambiente y Movilidad";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e537b503a71c010VgnVCM1000000b205a0aRCRD";"VAGUADA";"PASEO";"V";"13";"";"";"";"Avenida de Betanzos con Paseo de la Vaguada";"MADRID";"MADRID";"28029";"EL PILAR";"FUENCARRAL-EL PARDO";"439821";"4481504";"40.48016602497203";"-3.7112978051427574";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
