DISTRITO;Unfinished mandatory education;Lower secondary;Upper secondary;Higher Education
CENTRO;10.8;18.8;18.4;42.2
ARGANZUELA;10.7;19.9;19.5;37.4
RETIRO;8.1;15.8;19.3;44.3
SALAMANCA;6.7;14.4;18.4;49.6
CHAMARTIN;6.2;13.9;18.2;50.4
TETUAN;14.5;26.5;18.2;31.4
CHAMBERI;7.1;15.0;16.9;50.4
FUENCARRAL-EL PARDO;12.5;20.8;18.6;36.5
MONCLOA-ARAVACA;10.0;17.3;17.7;44.1
LATINA;22.5;32.3;20.4;16.2
CARABANCHEL;22.2;35.9;19.7;14.2
USERA;27.2;39.6;16.8;10.3
PUENTE DE VALLECAS;28.9;38.4;17.4;9.9
MORATALAZ;19.8;28.0;21.5;20.7
CIUDAD LINEAL;16.1;27.3;20.3;26.1
HORTALEZA;13.6;21.8;20.0;33.2
VILLAVERDE;26.5;39.0;18.7;9.6
VILLA DE VALLECAS;18.3;33.0;21.1;17.5
VICALVARO;21.0;32.8;20.4;16.5
SAN BLAS-CANILLEJAS;19.5;30.9;20.3;20.0
BARAJAS;10.7;21.2;22.9;31.9
