Unidades territoriales;Indicadores de renta media;Periodo;Total
28079 Madrid;Renta media por persona ;2017;15930
2807901 Madrid distrito 01;Renta media por persona ;2017;16711
2807902 Madrid distrito 02;Renta media por persona ;2017;17738
2807903 Madrid distrito 03;Renta media por persona ;2017;21598
2807904 Madrid distrito 04;Renta media por persona ;2017;24683
2807905 Madrid distrito 05;Renta media por persona ;2017;26267
2807906 Madrid distrito 06;Renta media por persona ;2017;15180
2807907 Madrid distrito 07;Renta media por persona ;2017;22897
2807908 Madrid distrito 08;Renta media por persona ;2017;18661
2807909 Madrid distrito 09;Renta media por persona ;2017;22792
2807910 Madrid distrito 10;Renta media por persona ;2017;12370
2807911 Madrid distrito 11;Renta media por persona ;2017;10988
2807912 Madrid distrito 12;Renta media por persona ;2017;9552
2807913 Madrid distrito 13;Renta media por persona ;2017;9706
2807914 Madrid distrito 14;Renta media por persona ;2017;14135
2807915 Madrid distrito 15;Renta media por persona ;2017;15111
2807916 Madrid distrito 16;Renta media por persona ;2017;18620
2807917 Madrid distrito 17;Renta media por persona ;2017;9875
2807918 Madrid distrito 18;Renta media por persona ;2017;12114
2807919 Madrid distrito 19;Renta media por persona ;2017;11941
2807920 Madrid distrito 20;Renta media por persona ;2017;13559
2807921 Madrid distrito 21;Renta media por persona ;2017;17807
