PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
11083893;"Almonte Sala Rociera";"El distrito de Salamanca cuenta con el local de referencia en Madrid para disfrutar de las sevillanas y del ambiente andaluz. Almonte ofrece lo mejor de la cultura y tradición andaluza, con actuaciones en directo de los más destacados grupos y cantantes del género así como una deliciosa cocina tradicional.";"";"";"Metro: Diego de León (líneas 4, 5 y 6), Núñez de Balboa (líneas 5 y 9).Bus: 29, 52.Bicimad: Estación 143 (calle Diego de León, 52).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=817a976f4f3fe610VgnVCM2000001f4a900aRCRD";"JUAN BRAVO";"CALLE";"V";"35";"";"";"";"";"MADRID";"MADRID";"28006";"LISTA";"SALAMANCA";"442429";"4476012";"40.43276273129851";"-3.678743136650558";"915 635 470";"";"almonte@almontesalarociera.com";"/contenido/entidadesYorganismos/Teatros"; 
10511835;"Café Teatro Serendipia";"";"";"";"Metro: Pueblo Nuevo (línea 5, 7). Bus: 109, 113, 38.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42a8fca35ccee510VgnVCM2000001f4a900aRCRD";"GERMAN PEREZ CARRASCO";"CALLE";"V";"21";"";"";"";"";"MADRID";"MADRID";"28027";"QUINTANA";"CIUDAD LINEAL";"445222";"4476261";"40.435190000069746";"-3.645847906504054";"601 184 771";"";"contacto@cafeteatroserendipia.com";"/contenido/entidadesYorganismos/Teatros"; 
7869361;"DT Espacio Escénico";"DT Espacio Escénico es un lugar para exhibir espectáculos con lenguaje escénico mixto y utilización de escenarios no convencionales. Ofrece una programación continuada y varios ciclos de teatro, danza y cabaret.";"";"";"Metro: Gran Vía (líneas 1, 5). Bus: 3, 46, 001, 1, 146, 2, 74, 51. Bicimad: Estación 18 (plaza Pedro Zerolo). Aparcamiento: Plaza Pedro Zerolo (71).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9e472de9f53b410VgnVCM1000000b205a0aRCRD";"REINA";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"440593";"4474656";"40.42040457289982";"-3.700283103997518";"915 217 155";"";"dtespacioescenico@dtespacioescenico.com";"/contenido/entidadesYorganismos/Teatros"; 
10511844;"El foro de Izab";"";"";"";"Metro: Acacias (línea 5), Embajadores (línea 3).Bus: 148, 41, 60, C1, C2.Cercanías Renfe: Embajadores (línea C5).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ba9fca35ccee510VgnVCM2000001f4a900aRCRD";"RIBERA DE CURTIDORES";"CALLE";"V";"37";"";"";"";"";"MADRID";"MADRID";"28005";"EMBAJADORES";"CENTRO";"440011";"4473125";"40.406579930805236";"-3.706986990152966";"";"";"";"/contenido/entidadesYorganismos/Teatros"; 
81184;"El Pavón Teatro Kamikaze";"El teatro Pavón, inaugurado en 1925, es uno de los primeros edificios madrileños construidos enteramente en estilo Art Decó. Actualmente es un espacio para el entretenimiento, la reflexión, el diálogo y la transformación, un recinto artístico que nace con la vocación de ofrecer una mirada contemporánea del mundo que nos rodea, donde lo clásico y lo moderno se dan la mano. En 2017 obtuvo el Premio Nacional de Teatro.";"";"";"Metro: La Latina (línea 5), Tirso de Molina (línea 1). Bus: M1. Bicimad: Estación 44 (calle Mesón de Paredes, 45).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b49d8c7c0f91f010VgnVCM1000000b205a0aRCRD";"EMBAJADORES";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28012";"EMBAJADORES";"CENTRO";"440081";"4473508";"40.410026211183464";"-3.7061980491148603";"910 513 331";"";"info@teatrokamikaze.com";"/contenido/entidadesYorganismos/Teatros"; 
10037757;"El umbral de la primavera";"Este espacio escénico conjuga y acoge propuestas de las diferentes manifestaciones artísticas actuales, desde teatro, danza y música hasta exposiciones, tertulias o instalaciones. El espacio ofrece también cursos de formación en arte dramático.";"";"";"Metro: Lavapiés (línea 3), Antón Martín (línea 1). Bus: M1. Bicimad: Estación 53 (calle Valencia, 1). Aparcamiento: Garaje calle Amparo (75).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=29aa50fba2504510VgnVCM2000001f4a900aRCRD";"PRIMAVERA";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28012";"EMBAJADORES";"CENTRO";"440573";"4473448";"40.40952998024258";"-3.700394299299595";"605 849 867";"";"elumbraldeprimavera@gmail.com";"/contenido/entidadesYorganismos/Teatros"; 
8158007;"Extensión AVAM. Matadero Madrid";"La Asociación de Artistas Visuales de Madrid dispone de un espacio en Matadero destinado a  la participación, debate y visibilidad de las producciones de los artistas.";"";"";"Renfe: EmbajadoresMetro: Legazpi (líneas 3, 6)Bus: 62, 6, 78, 148BICIMAD: Estación 165 (Paseo Chopera, 14)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cebd27f53e7de410VgnVCM1000000b205a0aRCRD";"CHOPERA";"PASEO";"V";"14";"";"";"";"Matadero";"MADRID";"MADRID";"28045";"CHOPERA";"ARGANZUELA";"440825";"4471546";"40.39241367848808";"-3.697259467865366";"";"";"correo@avam.es";"/contenido/entidadesYorganismos/Teatros"; 
1915;"Fernán Gómez Centro Cultural de la Villa";"";"Abierto al público de 10 a 22 horas (de martes a domingo).El horario habitual de la sala de exposiciones es de 10 a 21 horas.Venta Anticipada:  De martes a viernes de 11:00 horas a 19:00 horas (horario ininterrumpido). Sábados, domingos y festivos de 15:00 horas a 19:00 horas (horario ininterrumpido).Lunes cerrado.";"Sala Guirau (aforo 689 personas), en ella se programan espectáculos de las diferentes artes escénicas como son conciertos, zarzuela, espectáculos infantiles, danza y teatro. Sala Jardiel Poncela (aforo desde 95 hasta 175 personas, depende de la disposición de la obra que represente), acoge una programación más alternativa en la que tienen cabida actividades de disciplinas artísticas relacionadas con las artes escénicas, música, danza, teatro para adultos y para bebes, conferencias, debates, encuentros, poesía escenificada y talleres.  Sala de exposiciones (2000 m2) Sala Polivalente se utiliza para conferencias, talleres, master class y otros muchos encuentros destinados a acercar a los artistas al público.";"Metro: Colón (línea 4), Serrano (línea 4)Bus: 21, 37, 14, 150, 27, 45, 5Bicimad:Estación 93 (calle Goya, 1)Estación 10 (calle Marqués de la Ensenada, 16)Renfe: Recoletos";"";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD";"COLON";"PLAZA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28001";"RECOLETOS";"SALAMANCA";"441476";"4475151";"40.424926347610764";"-3.6899208519663427";"914 362 540 / 913 184 630 / 913 184 631 (Centralita)
913 184 631 (Información programación)";"";"info.tfg@teatrofernangomez.es";"/contenido/entidadesYorganismos/Teatros"; 
10037852;"Gran Teatro Bankia Príncipe Pío";"Tras 27 años cerrada, la antigua Estación del Norte abrió sus puertas convertida en un gran complejo de ocio y cultura, llamado La Estación. En él se encuentra este gran espacio escénico, que ofrece una programación variada en la que tienen cabida todo tipo de espectáculos, desde teatro hasta conciertos, pasando por musicales o cabaret.";"";"";"Metro: Príncipe Pío (líneas 6, 10 y R). Bus: 138, 148, 25, 3, 39, 46, 62, 75, C2, C1, 33, 41. Cercanías Renfe: Príncipe Pío (C1, C7 y C10). Bicimad: Estación 161 (paseo de la Florida, 8).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=44d450fba2504510VgnVCM2000001f4a900aRCRD";"SAN VICENTE";"CUESTA";"V";"44";"";"";"";"";"MADRID";"MADRID";"28008";"CASA DE CAMPO";"MONCLOA-ARAVACA";"438998";"4474671";"40.420433378754346";"-3.7190728318719177";"911 331 353";"";"atencionalcliente@laestacion.com";"/contenido/entidadesYorganismos/Teatros"; 
6599384;"Microteatro Por Dinero";"Un nuevo concepto de formato teatral: micro obras de entre diez y quince minutos, sobre un mismo tema, representadas en espacios pequeños para menos de quince espectadores por pase y hasta siete sesiones al día. De esta forma, el espectador puede elegir tanto el tiempo que quiere pasar en el teatro, según el número de obras que quiera ver, como el precio que quiere pagar, ya que cada visita a una sala se paga de forma individual.Microteatro es también un espacio multifuncional en el centro de Madrid donde también se puede asistir a microteatro infantil, conciertos, proyección de películas inéditas, arte, experimentación, alquiler de espacios para todo tipo de eventos, un bar... todo esto en un local que en su día fue un burdel y que ahora es un centro para la cultura y el ocio.";"";"";"Metro: Callao (líneas 3 y 5), Gran Vía (líneas 1 y 5). Bus: 001, 1, 146, 2, 46, 74, 002, 3. Bicimad: Estaciones 211 (Desengaño, 1), 17 (plaza de Carlos Carbonero, 2) y 2 (calle Miguel Moya, 1). Aparcamientos: Luna-Tudescos (14) (plaza Santa María Soledad Torres Acosta con vuelta a calle Luna), calle Barco 1 (88).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5546a391f9a2a310VgnVCM1000000b205a0aRCRD";"LORETO Y CHICOTE";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28004";"UNIVERSIDAD";"CENTRO";"440272";"4474782";"40.42152574011699";"-3.7040668231939438";"915 218 874";"";"info@microteatro.es";"/contenido/entidadesYorganismos/Teatros"; 
